annee,canton,technologie,puissance_mw,installations
1900,BE,Hydraulique,0.015,1
1900,GL,Hydraulique,0.11,1
1900,LU,Hydraulique,0.075,1
1900,SO,Hydraulique,0.075,1
1900,TG,Hydraulique,0.312,1
1900,ZH,Hydraulique,2.818,3
1902,AG,Hydraulique,60.2,2
1902,GR,Hydraulique,1.376,1
1902,ZG,Hydraulique,2.403,1
1903,BE,Hydraulique,0.055,1
1903,LU,Hydraulique,0.045,1
1904,VD,Hydraulique,27.37,1
1905,BE,Hydraulique,0.007,2
1905,OW,Hydraulique,33.9,1
1905,SO,Hydraulique,0.252,2
1905,UR,Hydraulique,1.28,1
1906,BE,Hydraulique,4.3,1
1906,VD,Hydraulique,26.178,2
1907,GR,Hydraulique,55.0,1
1907,SG,Hydraulique,0.016,1
1908,BE,Hydraulique,0.064,2
1908,GL,Hydraulique,60.0,1
1908,VS,Hydraulique,19.2,1
1908,ZG,Hydraulique,0.43,1
1909,VS,Hydraulique,28.0,1
1910,BE,Hydraulique,0.779,1
1910,FR,Hydraulique,16.62,1
1911,SG,Hydraulique,0.9,1
1914,AG,Hydraulique,106.0,1
1914,BE,Hydraulique,0.023,1
1914,GR,Hydraulique,7.0,1
1915,VS,Hydraulique,32.485,1
1918,GL,Hydraulique,0.168,1
1918,SZ,Hydraulique,0.017,1
1920,BE,Hydraulique,36.0,1
1920,LU,Hydraulique,0.034,1
1920,TI,Hydraulique,33.0,1
1920,ZH,Hydraulique,45.22,1
1921,FR,Hydraulique,24.375,1
1921,SG,Hydraulique,1.8,1
1922,GR,Hydraulique,44.2,1
1923,BS,Hydraulique,0.22,1
1923,VS,Hydraulique,77.75,1
1924,SZ,Hydraulique,107.4,1
1925,BE,Hydraulique,0.0088,1
1925,GE,Hydraulique,52.0,1
1925,SG,Hydraulique,0.0667,2
1926,BE,Hydraulique,0.012,1
1926,TI,Hydraulique,10.0,1
1926,VS,Hydraulique,29.92,1
1927,NW,Hydraulique,0.0185,1
1927,VD,Hydraulique,21.549,1
1929,BE,Hydraulique,0.016,1
1929,VS,Hydraulique,16.0,1
1930,AG,Hydraulique,112.0,1
1930,GL,Hydraulique,0.045,2
1931,VS,Hydraulique,24.552,2
1933,AG,Hydraulique,32.3,1
1934,TG,Hydraulique,0.246,1
1935,LU,Hydraulique,0.01,1
1937,BE,Hydraulique,0.08,2
1937,NW,Hydraulique,8.5,1
1937,SZ,Hydraulique,121.0,1
1937,VD,Hydraulique,0.07,1
1938,AG,Hydraulique,0.05,1
1939,ZH,Hydraulique,0.3,1
1940,FR,Hydraulique,0.0185,1
1940,SG,Hydraulique,0.112,2
1941,AG,Hydraulique,41.406000000000006,2
1941,GL,Hydraulique,0.245,1
1941,GR,Hydraulique,1.936,1
1941,OW,Hydraulique,1.2,1
1941,TG,Hydraulique,0.4,1
1942,BE,Hydraulique,0.18,1
1942,BL,Hydraulique,0.34,1
1942,SG,Hydraulique,0.025,1
1942,VS,Hydraulique,7.5,1
1942,ZH,Hydraulique,0.6,1
1943,AG,Hydraulique,0.47200000000000003,2
1943,BE,Hydraulique,0.03,1
1943,GE,Hydraulique,104.7,1
1943,VD,Hydraulique,4.78,1
1943,ZH,Hydraulique,0.245,1
1944,AG,Hydraulique,0.1,1
1944,BE,Hydraulique,0.09,1
1944,GL,Hydraulique,0.066,2
1944,GR,Hydraulique,6.16,1
1944,TI,Hydraulique,50.125,1
1945,BE,Hydraulique,0.02,1
1945,GE,Hydraulique,0.33,1
1945,LU,Hydraulique,0.3,1
1945,NW,Hydraulique,6.7,1
1946,BL,Hydraulique,0.88,1
1947,BE,Hydraulique,0.41,1
1947,BL,Hydraulique,0.44,1
1947,GL,Hydraulique,0.583,1
1948,BE,Hydraulique,0.05,1
1948,FR,Hydraulique,71.9,1
1948,SG,Hydraulique,0.035,1
1948,UR,Hydraulique,53.75,1
1949,AG,Hydraulique,42.6,1
1949,BL,Hydraulique,0.455,1
1949,GL,Hydraulique,18.2,1
1949,GR,Hydraulique,108.0,2
1949,SZ,Hydraulique,0.36,1
1949,TG,Hydraulique,0.5,2
1950,BE,Hydraulique,0.98,1
1950,SG,Hydraulique,0.211,3
1950,VD,Hydraulique,86.4,1
1950,VS,Hydraulique,35.3,1
1950,ZH,Hydraulique,0.04,1
1951,GR,Hydraulique,21.6,1
1951,SH,Hydraulique,5.16,1
1952,AG,Hydraulique,44.1,1
1952,VS,Hydraulique,55.9,1
1953,VS,Hydraulique,70.418,1
1954,AI,Hydraulique,2.48,1
1954,BL,Hydraulique,90.0,1
1954,VD,Hydraulique,26.4,1
1954,VS,Hydraulique,32.176,1
1955,UR,Hydraulique,12.5,1
1955,VD,Hydraulique,1.8,1
1956,AG,Hydraulique,0.16,1
1956,GR,Hydraulique,70.0,1
1956,SZ,Hydraulique,0.3,1
1956,ZH,Hydraulique,42.5,1
1957,BE,Hydraulique,0.05,1
1957,FR,Hydraulique,2.5,1
1957,GR,Hydraulique,234.194,3
1957,NW,Hydraulique,1.558,1
1957,OW,Hydraulique,16.31,3
1957,SG,Hydraulique,0.019,1
1957,VD,Hydraulique,4.24,1
1958,BE,Hydraulique,0.03,1
1958,GR,Hydraulique,22.0,1
1958,VS,Hydraulique,222.10000000000002,3
1959,BE,Hydraulique,17.0,1
1959,SG,Hydraulique,6.29,1
1959,TI,Hydraulique,84.32000000000001,2
1959,UR,Hydraulique,1.2,1
1959,VS,Hydraulique,57.6,1
1960,BE,Hydraulique,0.08750000000000001,2
1960,GL,Hydraulique,0.4,1
1960,GR,Hydraulique,230.14,5
1960,NW,Hydraulique,17.75,1
1960,SG,Hydraulique,0.036,1
1960,SZ,Hydraulique,13.7,2
1960,TG,Gaz naturel,9.52,1
1960,VS,Hydraulique,321.792,3
1961,BE,Hydraulique,1337.5,2
1961,GL,Hydraulique,1.785,1
1961,SZ,Hydraulique,2.0,1
1961,UR,Hydraulique,197.3,2
1961,VS,Hydraulique,7.49,1
1962,BE,Hydraulique,21.25,2
1962,GL,Hydraulique,1526.0,1
1962,GR,Hydraulique,529.1,3
1962,SG,Hydraulique,0.1,1
1962,SZ,Hydraulique,20.6,2
1962,TI,Hydraulique,431.0,1
1962,UR,Hydraulique,2.0,1
1963,BE,Hydraulique,15.0,1
1963,GR,Hydraulique,668.632,4
1963,SH,Hydraulique,25.2,1
1963,UR,Hydraulique,5.93,1
1964,BE,Hydraulique,9.0,1
1964,FR,Hydraulique,89.3,2
1964,GR,Hydraulique,0.95,1
1964,UR,Hydraulique,0.09,1
1964,VS,Hydraulique,1.6,1
1965,GL,Hydraulique,0.11,1
1965,OW,Hydraulique,0.175,1
1965,VS,Hydraulique,26.563,1
1966,AG,Hydraulique,5.424,1
1966,BE,Hydraulique,18.0,1
1966,GE,Déchets,18.4,1
1966,OW,Hydraulique,3.4,1
1966,SZ,Hydraulique,22.6,1
1966,UR,Hydraulique,25.0,1
1967,GR,Hydraulique,87.38,1
1967,TI,Hydraulique,10.8,1
1967,VS,Hydraulique,9.744,1
1968,BE,Hydraulique,15.0,1
1968,GR,Hydraulique,9.6,2
1968,JU,Hydraulique,0.025,1
1968,NE,Hydraulique,1.36,1
1968,OW,Hydraulique,8.25,1
1968,VS,Hydraulique,351.0,1
1969,AG,Nucléaire,364.8,1
1969,UR,Hydraulique,13.0,1
1969,VS,Hydraulique,349.576,1
1970,AG,Déchets,13.6,1
1970,BE,Hydraulique,28.5125,2
1970,GR,Hydraulique,3.83,3
1970,SO,Hydraulique,22.0,1
1970,SZ,Hydraulique,9.7,1
1970,TI,Hydraulique,17.5,1
1971,AG,Nucléaire,364.8,1
1971,VD,Hydraulique,240.0,1
1971,VS,Hydraulique,45.45,1
1972,FR,Hydraulique,7.8,1
1972,JU,Hydraulique,0.04,1
1974,BE,Hydraulique,0.016,1
1974,GR,Hydraulique,0.1,1
1974,SG,Déchets,26.15,1
1974,VS,Hydraulique,161.05,2
1975,AG,Hydraulique,19.0,1
1975,BE,Hydraulique,0.0404,1
1975,LU,Hydraulique,0.04,1
1976,FR,Hydraulique,2.4,1
1976,SG,Hydraulique,16.8,1
1976,TI,Hydraulique,3.58,1
1976,VS,Hydraulique,120.0,1
1976,ZH,Déchets,20.2,1
1977,GL,Hydraulique,0.075,1
1977,GR,Hydraulique,30.0,1
1977,SG,Hydraulique,366.0,1
1977,VS,Hydraulique,4.56,1
1978,BE,Hydraulique,0.03,1
1978,GL,Hydraulique,3.375,5
1978,SG,Hydraulique,0.008,1
1979,SG,Hydraulique,0.0075,1
1979,SO,Nucléaire,1035.0,1
1980,GR,Hydraulique,9.43,3
1980,LU,Hydraulique,3.04,2
1980,VD,Biomasse,0.115,1
1981,AI,Gaz naturel,0.78,1
1981,AR,Hydraulique,0.015,1
1981,BE,Hydraulique,0.01,1
1981,BL,Gaz naturel,0.7,1
1981,SG,Hydraulique,1.2,1
1981,VS,Hydraulique,3.15,1
1982,BE,Hydraulique,8.33,2
1982,FR,Hydraulique,2.5,1
1982,LU,Hydraulique,0.015,1
1982,SG,Hydraulique,0.08,1
1982,ZG,Hydraulique,0.03,1
1982,ZH,Hydraulique,0.103,1
1983,AG,Hydraulique,0.0275,2
1983,BE,Hydraulique,0.886,4
1983,GL,Hydraulique,0.8,1
1983,SG,Hydraulique,0.0375,1
1983,VD,Hydraulique,0.0185,1
1984,AG,Nucléaire,1250.0,1
1984,BE,Hydraulique,3.94,2
1984,GL,Déchets,12.5,1
1984,OW,Hydraulique,0.03,1
1984,SG,Hydraulique,0.11,1
1984,UR,Hydraulique,0.01,1
1985,BE,Hydraulique,18.6,1
1985,GR,Hydraulique,0.011,1
1985,LU,Hydraulique,0.011,1
1985,NE,Déchets,2.84,1
1985,OW,Hydraulique,0.022,1
1985,VS,Hydraulique,0.75,1
1985,ZH,Biomasse,0.13,1
1986,AG,Hydraulique,1.024,1
1986,BE,Hydraulique,1.228,3
1986,SZ,Hydraulique,0.004,1
1987,AR,Hydraulique,0.64,2
1987,BE,Hydraulique,0.237,1
1987,GR,Hydraulique,0.05,1
1987,NW,Hydraulique,0.03,1
1987,SG,Déchets,5.7,1
1987,SG,Hydraulique,4.7,2
1987,ZH,Hydraulique,1.77,1
1988,AG,Hydraulique,3.345,1
1988,AR,Hydraulique,0.225,1
1988,AR,Photovoltaïque,0.013800000000000002,1
1988,BE,Hydraulique,0.0195,2
1988,BL,Gaz naturel,0.42000000000000004,3
1988,GR,Hydraulique,0.004,1
1988,NE,Gaz naturel,47.2,1
1988,NE,Hydraulique,4.77,1
1988,SZ,Hydraulique,1.0,1
1988,UR,Hydraulique,0.032,1
1989,AG,Gaz naturel,0.482,1
1989,AG,Hydraulique,0.017,1
1989,BE,Hydraulique,11.509,2
1989,BE,Photovoltaïque,0.02088,1
1989,BL,Gaz naturel,0.051,1
1989,GR,Hydraulique,0.152,1
1989,LU,Photovoltaïque,0.00463,1
1989,OW,Hydraulique,0.011,1
1989,SG,Hydraulique,1.6099999999999999,2
1989,SH,Photovoltaïque,0.0238,1
1989,VS,Photovoltaïque,0.02994,1
1989,ZH,Gaz naturel,0.46,1
1990,BE,Hydraulique,0.25,1
1990,BE,Photovoltaïque,0.003,1
1990,BL,Gaz naturel,0.5700000000000001,3
1990,BL,Photovoltaïque,0.0127,2
1990,FR,Hydraulique,0.0736,1
1990,GR,Hydraulique,91.098,2
1990,LU,Hydraulique,0.0056,1
1990,SG,Hydraulique,5.1853,3
1990,VD,Hydraulique,5.6,1
1990,VS,Hydraulique,1.44,2
1990,ZG,Hydraulique,0.145,1
1990,ZH,Photovoltaïque,0.0078,2
1991,AG,Photovoltaïque,0.003,1
1991,BE,Déchets,4.05,1
1991,BE,Hydraulique,19.047,3
1991,BE,Photovoltaïque,0.009000000000000001,3
1991,BE,Pétrole,0.0053,1
1991,BL,Gaz naturel,0.1,1
1991,BL,Photovoltaïque,0.006,1
1991,GR,Déchets,13.0,1
1991,GR,Hydraulique,0.536,2
1991,GR,Photovoltaïque,0.05226,2
1991,LU,Photovoltaïque,0.003,1
1991,NE,Déchets,4.68,1
1991,SG,Hydraulique,0.026,1
1991,SO,Photovoltaïque,0.0014,1
1991,TG,Photovoltaïque,0.0033,1
1991,ZH,Gaz naturel,0.502,1
1991,ZH,Hydraulique,0.16,1
1991,ZH,Photovoltaïque,0.0012,1
1992,AG,Déchets,7.76,1
1992,AR,Hydraulique,0.47,1
1992,BE,Hydraulique,0.176,2
1992,BE,Photovoltaïque,0.5900299999999999,2
1992,BL,Gaz naturel,0.331,3
1992,BL,Hydraulique,35.98,1
1992,BL,Photovoltaïque,0.023,2
1992,BS,Gaz naturel,1.31,1
1992,GR,Hydraulique,0.056,1
1992,NW,Hydraulique,0.071,1
1992,TI,Photovoltaïque,0.0557,3
1992,VD,Hydraulique,8.012,2
1992,ZH,Photovoltaïque,0.0017,1
1993,AG,Hydraulique,0.006,1
1993,BE,Hydraulique,0.128,1
1993,BL,Gaz naturel,0.514,3
1993,BL,Photovoltaïque,0.0201,2
1993,FR,Hydraulique,0.005,1
1993,GL,Hydraulique,1.015,2
1993,GR,Hydraulique,0.071,3
1993,GR,Photovoltaïque,0.1,1
1993,LU,Photovoltaïque,0.0085,1
1993,SG,Hydraulique,0.5355000000000001,4
1993,SG,Photovoltaïque,0.003,1
1993,SH,Hydraulique,5.04,1
1993,SO,Photovoltaïque,0.003,1
1993,SZ,Hydraulique,0.067,2
1993,SZ,Photovoltaïque,0.013,1
1993,TG,Hydraulique,0.2,1
1993,TI,Biomasse,0.18,1
1993,VS,Biomasse,0.044,1
1993,VS,Hydraulique,1.6,1
1993,ZG,Photovoltaïque,0.21178,1
1994,AG,Biomasse,0.0055,1
1994,AG,Hydraulique,0.23,1
1994,AR,Hydraulique,0.03,1
1994,BE,Hydraulique,0.7704,4
1994,BE,Photovoltaïque,0.042260000000000006,8
1994,BL,Gaz naturel,0.59,3
1994,BL,Photovoltaïque,0.035699999999999996,3
1994,BS,Gaz naturel,0.29,1
1994,FR,Biomasse,0.3,1
1994,GE,Hydraulique,0.04,1
1994,GR,Hydraulique,0.339,2
1994,LU,Hydraulique,0.04,1
1994,OW,Hydraulique,48.0,2
1994,SG,Hydraulique,0.004,1
1994,SZ,Hydraulique,0.0305,2
1994,TG,Photovoltaïque,0.099,1
1994,VD,Hydraulique,1.3,1
1994,VD,Photovoltaïque,0.0648,1
1994,VS,Hydraulique,0.4,3
1994,ZH,Photovoltaïque,0.23584000000000002,4
1995,AG,Photovoltaïque,0.0036,1
1995,AR,Photovoltaïque,0.0033,1
1995,BE,Biomasse,0.1,1
1995,BE,Hydraulique,5.226,3
1995,BE,Photovoltaïque,0.0747,13
1995,BL,Gaz naturel,0.884,5
1995,BL,Hydraulique,0.69,1
1995,BL,Photovoltaïque,0.1216,2
1995,FR,Biomasse,0.67,1
1995,GE,Hydraulique,6.0,1
1995,GL,Hydraulique,0.285,1
1995,GR,Hydraulique,0.295,2
1995,LU,Gaz naturel,0.115,1
1995,OW,Photovoltaïque,0.368,1
1995,SG,Hydraulique,0.302,2
1995,SO,Photovoltaïque,0.0318,3
1995,VD,Hydraulique,0.46399999999999997,2
1995,VS,Hydraulique,1.33,3
1995,ZH,Biomasse,0.248,1
1995,ZH,Déchets,9.5,1
1995,ZH,Hydraulique,0.002,1
1995,ZH,Photovoltaïque,0.0025,1
1996,AR,Hydraulique,0.125,2
1996,BE,Gaz naturel,0.06,1
1996,BE,Hydraulique,22.744,8
1996,BE,Photovoltaïque,0.028999999999999998,6
1996,BL,Photovoltaïque,0.0181,1
1996,GL,Hydraulique,0.9,1
1996,GR,Hydraulique,0.243,1
1996,GR,Photovoltaïque,0.0019,1
1996,JU,Hydraulique,0.025,1
1996,SG,Hydraulique,2.425,5
1996,SO,Hydraulique,1.6,2
1996,TG,Déchets,15.639999999999999,2
1996,TG,Hydraulique,0.137,2
1996,TI,Hydraulique,0.23199999999999998,4
1996,TI,Photovoltaïque,0.003,1
1996,UR,Hydraulique,0.533,1
1996,VD,Gaz naturel,0.328,1
1996,VD,Hydraulique,0.047,2
1996,ZH,Biomasse,0.33,1
1997,BE,Hydraulique,0.087,3
1997,BE,Photovoltaïque,0.0040999999999999995,1
1997,BL,Gaz naturel,0.801,5
1997,BL,Hydraulique,0.385,1
1997,GR,Hydraulique,0.1,2
1997,LU,Photovoltaïque,0.003,1
1997,NW,Hydraulique,0.1,1
1997,OW,Hydraulique,1.415,2
1997,SG,Hydraulique,0.104,5
1997,TG,Photovoltaïque,0.0048,1
1997,TI,Gaz naturel,0.252,1
1997,TI,Hydraulique,0.014,1
1997,UR,Hydraulique,1.6,1
1997,VD,Hydraulique,0.29400000000000004,2
1997,VS,Hydraulique,0.32,1
1997,ZH,Photovoltaïque,0.048,2
1998,AG,Gaz naturel,0.08,1
1998,AG,Hydraulique,0.544,1
1998,AR,Photovoltaïque,0.03178,2
1998,BE,Gaz naturel,0.2025,1
1998,BE,Hydraulique,1.27,10
1998,BE,Photovoltaïque,0.11466,6
1998,BL,Hydraulique,1.206,2
1998,BL,Photovoltaïque,0.0036,1
1998,GE,Photovoltaïque,0.0077,1
1998,GR,Hydraulique,6.32,5
1998,LU,Hydraulique,0.873,2
1998,OW,Hydraulique,0.0185,1
1998,SG,Photovoltaïque,0.071,4
1998,SH,Photovoltaïque,0.0036,1
1998,SO,Photovoltaïque,0.003,1
1998,SZ,Hydraulique,0.3,1
1998,TG,Photovoltaïque,0.006,1
1998,TI,Hydraulique,4.575,1
1998,TI,Photovoltaïque,0.0597,1
1998,UR,Hydraulique,123.3,3
1998,VS,Biomasse,0.052,1
1998,ZG,Hydraulique,0.1228,3
1998,ZH,Hydraulique,0.15,1
1998,ZH,Photovoltaïque,0.1649,4
1999,AG,Photovoltaïque,0.26143,4
1999,AR,Photovoltaïque,0.025599999999999998,2
1999,BE,Hydraulique,0.036,1
1999,BE,Photovoltaïque,0.05106,2
1999,BL,Gaz naturel,0.6859999999999999,4
1999,BS,Gaz naturel,0.096,1
1999,FR,Gaz naturel,0.2,1
1999,FR,Hydraulique,3.184,1
1999,GL,Hydraulique,0.9,1
1999,GR,Hydraulique,0.166,4
1999,GR,Photovoltaïque,0.036,1
1999,JU,Hydraulique,0.43,1
1999,LU,Hydraulique,1.188,1
1999,NW,Hydraulique,0.058,1
1999,OW,Hydraulique,0.032,1
1999,SH,Photovoltaïque,0.01428,1
1999,SO,Hydraulique,0.012,1
1999,SO,Photovoltaïque,0.0421,3
1999,SZ,Photovoltaïque,0.014,1
1999,TG,Hydraulique,0.13,1
1999,TG,Photovoltaïque,0.011,1
1999,TI,Hydraulique,1.343,3
1999,UR,Hydraulique,0.08,1
1999,VD,Gaz naturel,0.085,1
1999,VD,Photovoltaïque,0.0112,1
1999,VS,Biomasse,0.12,1
1999,VS,Hydraulique,0.46,1
1999,ZH,Hydraulique,0.375,3
1999,ZH,Photovoltaïque,0.20319,5
2000,AG,Hydraulique,0.226,1
2000,AG,Photovoltaïque,0.0139,2
2000,AR,Gaz naturel,0.883,1
2000,AR,Photovoltaïque,0.015710000000000002,1
2000,BE,Biomasse,0.15,1
2000,BE,Hydraulique,0.10600000000000001,5
2000,BE,Photovoltaïque,0.2054,5
2000,BL,Gaz naturel,0.24000000000000002,2
2000,GE,Biomasse,0.171,1
2000,GL,Hydraulique,0.022,1
2000,GR,Hydraulique,0.04,1
2000,LU,Hydraulique,0.85,1
2000,NE,Déchets,6.625,1
2000,SG,Biomasse,0.24,1
2000,SG,Hydraulique,0.045,1
2000,SH,Photovoltaïque,0.0034,1
2000,SO,Gaz naturel,0.0912,1
2000,SO,Hydraulique,74.82,3
2000,VD,Hydraulique,12.6,1
2000,ZG,Gaz naturel,0.055,1
2000,ZH,Biomasse,1.84,1
2000,ZH,Gaz naturel,0.8,1
2000,ZH,Hydraulique,0.409,1
2000,ZH,Éolien,0.007,1
2001,AG,Hydraulique,7.155,2
2001,AG,Photovoltaïque,0.18030000000000002,1
2001,AI,Hydraulique,0.015,1
2001,BE,Photovoltaïque,0.0028,1
2001,BL,Gaz naturel,0.236,1
2001,FR,Déchets,10.0,1
2001,GL,Hydraulique,0.125,1
2001,GL,Photovoltaïque,0.0046,1
2001,GR,Hydraulique,0.25,1
2001,GR,Photovoltaïque,0.0939,5
2001,JU,Hydraulique,1.6400000000000001,2
2001,LU,Gaz naturel,10.2,1
2001,TG,Photovoltaïque,0.014620000000000001,2
2001,TI,Photovoltaïque,0.0044,1
2001,VD,Gaz naturel,0.1,1
2001,VS,Hydraulique,0.242,1
2001,ZG,Photovoltaïque,0.018279999999999998,2
2001,ZH,Biomasse,1.399,2
2001,ZH,Photovoltaïque,0.0416,3
2002,AG,Photovoltaïque,0.005,1
2002,BE,Hydraulique,0.042,1
2002,BE,Photovoltaïque,0.0035,1
2002,BL,Gaz naturel,0.396,3
2002,GE,Gaz naturel,1.345,2
2002,GE,Photovoltaïque,0.0024,1
2002,GR,Hydraulique,0.028300000000000002,1
2002,GR,Photovoltaïque,0.015,1
2002,JU,Hydraulique,0.406,1
2002,SG,Hydraulique,2.0185,4
2002,SZ,Photovoltaïque,0.039979999999999995,1
2002,TG,Hydraulique,1.9249999999999998,2
2002,TG,Photovoltaïque,0.06312,2
2002,UR,Hydraulique,0.4,2
2002,VD,Biomasse,0.665,2
2002,VD,Hydraulique,0.2775,2
2002,VS,Hydraulique,12.0,1
2002,ZH,Biomasse,2.72,1
2002,ZH,Photovoltaïque,0.32839999999999997,8
2002,ZH,Éolien,0.007,1
2003,BE,Déchets,15.07,1
2003,BE,Gaz naturel,1.065,1
2003,BE,Hydraulique,0.0825,4
2003,BE,Photovoltaïque,0.02337,2
2003,BL,Gaz naturel,0.472,2
2003,GE,Photovoltaïque,0.01492,1
2003,GR,Hydraulique,0.4365,3
2003,OW,Hydraulique,1.25,1
2003,SG,Hydraulique,0.525,2
2003,SG,Photovoltaïque,0.025099999999999997,3
2003,SH,Photovoltaïque,0.05995,8
2003,SO,Biomasse,0.112,1
2003,SO,Gaz naturel,0.18,1
2003,SO,Photovoltaïque,0.0171,3
2003,SZ,Photovoltaïque,0.031,1
2003,TG,Photovoltaïque,0.0099,1
2003,TG,Éolien,0.0064,1
2003,TI,Hydraulique,0.13,1
2003,TI,Photovoltaïque,0.027460000000000002,4
2003,VD,Hydraulique,0.5,2
2003,VD,Photovoltaïque,0.12547999999999998,3
2003,VS,Biomasse,0.313,1
2003,ZG,Photovoltaïque,0.02723,1
2003,ZH,Hydraulique,2.5,1
2003,ZH,Photovoltaïque,0.0742,5
2004,AG,Biomasse,0.2,1
2004,AG,Hydraulique,0.0015,1
2004,AG,Photovoltaïque,0.02392,1
2004,AR,Photovoltaïque,0.004,1
2004,BE,Photovoltaïque,0.0725,1
2004,BL,Photovoltaïque,0.03,1
2004,BS,Gaz naturel,0.8600000000000001,3
2004,GL,Hydraulique,30.5,1
2004,GR,Biomasse,0.08,1
2004,GR,Hydraulique,2.205,2
2004,GR,Photovoltaïque,0.0055,1
2004,OW,Hydraulique,0.05,1
2004,SG,Gaz naturel,0.049,1
2004,SG,Hydraulique,1.374,3
2004,SZ,Hydraulique,0.082,1
2004,TG,Hydraulique,0.015,1
2004,TG,Photovoltaïque,0.009699999999999999,1
2004,TI,Hydraulique,0.087,1
2004,TI,Photovoltaïque,0.004200000000000001,1
2004,UR,Hydraulique,0.125,1
2004,VD,Biomasse,0.048,1
2004,VD,Gaz naturel,0.04,1
2004,VD,Photovoltaïque,0.01074,1
2004,VS,Photovoltaïque,0.023399999999999997,1
2004,ZH,Hydraulique,0.6,1
2004,ZH,Photovoltaïque,0.12012,6
2005,AG,Photovoltaïque,0.024480000000000002,1
2005,BE,Hydraulique,1.3900000000000001,2
2005,BE,Photovoltaïque,1.36621,2
2005,FR,Photovoltaïque,0.1102,1
2005,GE,Photovoltaïque,0.13015,3
2005,GL,Hydraulique,16.5,1
2005,GR,Hydraulique,0.513,3
2005,GR,Photovoltaïque,0.12764999999999999,3
2005,LU,Biomasse,0.335,1
2005,LU,Éolien,0.9,1
2005,NE,Hydraulique,1.23,2
2005,OW,Hydraulique,0.027,1
2005,SG,Photovoltaïque,0.01446,1
2005,SH,Photovoltaïque,0.0127,1
2005,SO,Éolien,0.0064,1
2005,TG,Photovoltaïque,0.03801,4
2005,TI,Photovoltaïque,0.0050999999999999995,1
2005,VD,Gaz naturel,0.072,1
2005,VD,Photovoltaïque,0.07838,3
2005,VS,Photovoltaïque,0.022,1
2005,VS,Éolien,2.0,1
2005,ZH,Biomasse,3.5,1
2005,ZH,Gaz naturel,0.266,3
2005,ZH,Photovoltaïque,0.13574999999999998,10
2006,AG,Biomasse,0.235,1
2006,AG,Hydraulique,6.903,3
2006,AG,Photovoltaïque,0.10302,11
2006,AR,Biomasse,1.065,1
2006,AR,Photovoltaïque,0.004200000000000001,1
2006,BE,Biomasse,0.016,1
2006,BE,Hydraulique,1.312,8
2006,BE,Photovoltaïque,0.11034,18
2006,BL,Biomasse,0.346,1
2006,BL,Hydraulique,0.679,1
2006,BL,Photovoltaïque,0.0361,6
2006,BS,Photovoltaïque,0.0801,2
2006,FR,Biomasse,0.125,1
2006,FR,Hydraulique,0.04,1
2006,FR,Photovoltaïque,0.0534,5
2006,GE,Photovoltaïque,0.5459499999999999,25
2006,GL,Hydraulique,0.032,1
2006,GL,Photovoltaïque,0.02258,4
2006,GR,Biomasse,0.25,1
2006,GR,Hydraulique,0.09025,2
2006,GR,Photovoltaïque,0.123,7
2006,JU,Photovoltaïque,0.008570000000000001,2
2006,LU,Biomasse,0.89,2
2006,LU,Hydraulique,0.006,1
2006,LU,Photovoltaïque,0.020900000000000002,4
2006,LU,Éolien,0.03,1
2006,NE,Photovoltaïque,0.17555,10
2006,OW,Hydraulique,0.027,1
2006,SG,Hydraulique,0.20600000000000002,3
2006,SG,Photovoltaïque,0.102,20
2006,SG,Éolien,0.007,1
2006,SH,Biomasse,0.2,1
2006,SH,Photovoltaïque,0.0075,1
2006,SO,Biomasse,0.42,1
2006,SO,Hydraulique,0.01,1
2006,SO,Photovoltaïque,0.0149,2
2006,SZ,Photovoltaïque,0.032,1
2006,TG,Biomasse,0.353,2
2006,TG,Hydraulique,0.0075,1
2006,TG,Photovoltaïque,0.03292,3
2006,TI,Photovoltaïque,0.0081,4
2006,UR,Hydraulique,0.055,1
2006,UR,Photovoltaïque,0.012199999999999999,1
2006,VD,Biomasse,0.012,1
2006,VD,Déchets,21.24,1
2006,VD,Hydraulique,0.648,3
2006,VD,Photovoltaïque,0.1422,20
2006,VS,Biomasse,0.8018,3
2006,VS,Hydraulique,1.345,6
2006,VS,Photovoltaïque,0.0078,2
2006,ZG,Hydraulique,0.012,1
2006,ZG,Photovoltaïque,0.0173,2
2006,ZH,Biomasse,0.7050000000000001,3
2006,ZH,Photovoltaïque,0.3807,30
2006,ZH,Éolien,0.007,1
2007,AG,Biomasse,0.048,1
2007,AG,Hydraulique,0.09,1
2007,AG,Photovoltaïque,0.13176,22
2007,AI,Photovoltaïque,0.1036,3
2007,AR,Photovoltaïque,0.21533,8
2007,BE,Biomasse,0.397,2
2007,BE,Hydraulique,0.0644,4
2007,BE,Photovoltaïque,0.51976,57
2007,BL,Gaz naturel,0.12,1
2007,BL,Photovoltaïque,0.26707000000000003,20
2007,BS,Photovoltaïque,0.045899999999999996,1
2007,FR,Biomasse,0.44499999999999995,2
2007,FR,Hydraulique,0.18,1
2007,FR,Photovoltaïque,0.16033,23
2007,GE,Hydraulique,0.24,1
2007,GE,Photovoltaïque,1.4834399999999999,45
2007,GL,Hydraulique,1.225,4
2007,GL,Photovoltaïque,0.0368,7
2007,GR,Biomasse,22.608999999999998,3
2007,GR,Hydraulique,1.3391,5
2007,GR,Photovoltaïque,0.214,14
2007,JU,Photovoltaïque,0.05928,8
