canton,annee,population
Graubünden / Grigioni / Grischun,1978,159230
Aargau,1978,443739
Thurgau,1978,181097
Ticino,1978,261994
Vaud,1978,516939
Valais / Wallis,1978,215140
Neuchâtel,1978,158551
Genève,1978,344170
Jura,1978,64767
Suisse,1979,6303573
Zürich,1979,1115356
Bern / Berne,1979,908820
Luzern,1979,293197
Uri,1979,33546
Schwyz,1979,95667
Obwalden,1979,25488
Nidwalden,1979,27982
Glarus,1979,36021
Zug,1979,74691
Fribourg / Freiburg,1979,183727
Solothurn,1979,215890
Basel-Stadt,1979,205574
Basel-Landschaft,1979,216976
Schaffhausen,1979,68849
Appenzell Ausserrhoden,1979,46940
Appenzell Innerrhoden,1979,12742
St. Gallen,1979,386179
Graubünden / Grigioni / Grischun,1979,159791
Aargau,1979,447021
Thurgau,1979,181568
Ticino,1979,263624
Vaud,1979,519059
Valais / Wallis,1979,216249
Neuchâtel,1979,157551
Genève,1979,346500
Jura,1979,64565
Suisse,1980,6335243
Zürich,1980,1120815
Bern / Berne,1980,911016
Luzern,1980,294421
Uri,1980,33523
Schwyz,1980,96597
Obwalden,1980,25731
Nidwalden,1980,28321
Glarus,1980,36138
Zug,1980,75677
Fribourg / Freiburg,1980,184497
Solothurn,1980,216563
Basel-Stadt,1980,203598
Basel-Landschaft,1980,218975
Schaffhausen,1980,69043
Appenzell Ausserrhoden,1980,47185
Appenzell Innerrhoden,1980,12757
St. Gallen,1980,388975
Graubünden / Grigioni / Grischun,1980,161253
Aargau,1980,450794
Thurgau,1980,182677
Ticino,1980,265588
Vaud,1980,522340
Valais / Wallis,1980,217795
Neuchâtel,1980,157091
Genève,1980,349562
Jura,1980,64311
Suisse,1981,6372904
Zürich,1981,1123840
Bern / Berne,1981,914753
Luzern,1981,296378
Uri,1981,33471
Schwyz,1981,97519
Obwalden,1981,26191
Nidwalden,1981,28888
Glarus,1981,36249
Zug,1981,76348
Fribourg / Freiburg,1981,185901
Solothurn,1981,217784
Basel-Stadt,1981,202121
Basel-Landschaft,1981,220053
Schaffhausen,1981,69610
Appenzell Ausserrhoden,1981,47702
Appenzell Innerrhoden,1981,12781
St. Gallen,1981,391671
Graubünden / Grigioni / Grischun,1981,162582
Aargau,1981,455379
Thurgau,1981,184872
Ticino,1981,268748
Vaud,1981,526552
Valais / Wallis,1981,219953
Neuchâtel,1981,156803
Genève,1981,352461
Jura,1981,64294
Suisse,1982,6409713
Zürich,1982,1127659
Bern / Berne,1982,918323
Luzern,1982,298597
Uri,1982,33595
Schwyz,1982,98566
Obwalden,1982,26569
Nidwalden,1982,29278
Glarus,1982,36196
Zug,1982,77184
Fribourg / Freiburg,1982,187597
Solothurn,1982,217942
Basel-Stadt,1982,201139
Basel-Landschaft,1982,221167
Schaffhausen,1982,69735
Appenzell Ausserrhoden,1982,48223
Appenzell Innerrhoden,1982,12904
St. Gallen,1982,394387
Graubünden / Grigioni / Grischun,1982,163503
Aargau,1982,458992
Thurgau,1982,186557
Ticino,1982,271233
Vaud,1982,531413
Valais / Wallis,1982,222668
Neuchâtel,1982,156020
Genève,1982,355806
Jura,1982,64460
Suisse,1983,6427833
Zürich,1983,1124690
Bern / Berne,1983,919980
Luzern,1983,300237
Uri,1983,33552
Schwyz,1983,99834
Obwalden,1983,26813
Nidwalden,1983,29765
Glarus,1983,36240
Zug,1983,77864
Fribourg / Freiburg,1983,188882
Solothurn,1983,217804
Basel-Stadt,1983,199203
Basel-Landschaft,1983,222155
Schaffhausen,1983,69650
Appenzell Ausserrhoden,1983,48582
Appenzell Innerrhoden,1983,13014
St. Gallen,1983,396520
Graubünden / Grigioni / Grischun,1983,163949
Aargau,1983,461968
Thurgau,1983,187706
Ticino,1983,272178
Vaud,1983,535239
Valais / Wallis,1983,225094
Neuchâtel,1983,154790
Genève,1983,357752
Jura,1983,64372
Suisse,1984,6455896
Zürich,1984,1126848
Bern / Berne,1984,921476
Luzern,1984,302245
Uri,1984,33589
Schwyz,1984,100875
Obwalden,1984,27046
Nidwalden,1984,30153
Glarus,1984,36423
Zug,1984,78978
Fribourg / Freiburg,1984,190394
Solothurn,1984,218148
Basel-Stadt,1984,197470
Basel-Landschaft,1984,223492
Schaffhausen,1984,69630
Appenzell Ausserrhoden,1984,48803
Appenzell Innerrhoden,1984,13042
St. Gallen,1984,398626
Graubünden / Grigioni / Grischun,1984,164836
Aargau,1984,464626
Thurgau,1984,189155
Ticino,1984,273528
Vaud,1984,539627
Valais / Wallis,1984,227274
Neuchâtel,1984,154719
Genève,1984,360462
Jura,1984,64431
Suisse,1985,6484834
Zürich,1985,1128248
Bern / Berne,1985,922863
Luzern,1985,303901
Uri,1985,33517
Schwyz,1985,102063
Obwalden,1985,27330
Nidwalden,1985,30601
Glarus,1985,36419
Zug,1985,80273
Fribourg / Freiburg,1985,192440
Solothurn,1985,218662
Basel-Stadt,1985,195858
Basel-Landschaft,1985,224972
Schaffhausen,1985,69643
Appenzell Ausserrhoden,1985,49140
Appenzell Innerrhoden,1985,13128
St. Gallen,1985,401216
Graubünden / Grigioni / Grischun,1985,165589
Aargau,1985,468163
Thurgau,1985,190699
Ticino,1985,275261
Vaud,1985,543667
Valais / Wallis,1985,229470
Neuchâtel,1985,154909
Genève,1985,362157
Jura,1985,64645
Suisse,1986,6523413
Zürich,1986,1131484
Bern / Berne,1986,925463
Luzern,1986,306132
Uri,1986,33456
Schwyz,1986,103358
Obwalden,1986,27594
Nidwalden,1986,31041
Glarus,1986,36580
Zug,1986,81634
Fribourg / Freiburg,1986,194645
Solothurn,1986,219458
Basel-Stadt,1986,194340
Basel-Landschaft,1986,225836
Schaffhausen,1986,69781
Appenzell Ausserrhoden,1986,49342
Appenzell Innerrhoden,1986,13137
St. Gallen,1986,403931
Graubünden / Grigioni / Grischun,1986,166494
Aargau,1986,472685
Thurgau,1986,192439
Ticino,1986,277220
Vaud,1986,550336
Valais / Wallis,1986,232550
Neuchâtel,1986,156216
Genève,1986,363550
Jura,1986,64711
Suisse,1987,6566799
Zürich,1987,1136566
Bern / Berne,1987,928758
Luzern,1987,308741
Uri,1987,33435
Schwyz,1987,104634
Obwalden,1987,27749
Nidwalden,1987,31347
Glarus,1987,36674
Zug,1987,82790
Fribourg / Freiburg,1987,197175
Solothurn,1987,220252
Basel-Stadt,1987,192559
Basel-Landschaft,1987,227126
Schaffhausen,1987,70094
Appenzell Ausserrhoden,1987,49782
Appenzell Innerrhoden,1987,13140
St. Gallen,1987,407012
Graubünden / Grigioni / Grischun,1987,167143
Aargau,1987,478511
Thurgau,1987,195219
Ticino,1987,278647
Vaud,1987,556942
Valais / Wallis,1987,235390
Neuchâtel,1987,156943
Genève,1987,365525
Jura,1987,64645
Suisse,1988,6619973
Zürich,1988,1141494
Bern / Berne,1988,932577
Luzern,1988,311761
Uri,1988,33544
Schwyz,1988,106409
Obwalden,1988,27896
Nidwalden,1988,31619
Glarus,1988,36953
Zug,1988,83419
Fribourg / Freiburg,1988,200166
Solothurn,1988,221464
Basel-Stadt,1988,190854
