canton,annee,population
St. Gallen,2009,474676
Graubünden / Grigioni / Grischun,2009,191861
Aargau,2009,600040
Thurgau,2009,244805
Ticino,2009,335720
Vaud,2009,701526
Valais / Wallis,2009,307392
Neuchâtel,2009,171647
Genève,2009,453292
Jura,2009,70134
Suisse,2010,7864012
Zürich,2010,1368822
Bern / Berne,2010,978248
Luzern,2010,376395
Uri,2010,35301
Schwyz,2010,146285
Obwalden,2010,35492
Nidwalden,2010,40922
Glarus,2010,38568
Zug,2010,112237
Fribourg / Freiburg,2010,277824
Solothurn,2010,254758
Basel-Stadt,2010,189431
Basel-Landschaft,2010,273887
Schaffhausen,2010,76345
Appenzell Ausserrhoden,2010,52938
Appenzell Innerrhoden,2010,15655
St. Gallen,2010,477746
Graubünden / Grigioni / Grischun,2010,192702
Aargau,2010,608299
Thurgau,2010,247781
Ticino,2010,339946
Vaud,2010,711818
Valais / Wallis,2010,311985
Neuchâtel,2010,171904
Genève,2010,458559
Jura,2010,70164
Suisse,2011,7954662
Zürich,2011,1392396
Bern / Berne,2011,985000
Luzern,2011,381966
Uri,2011,35382
Schwyz,2011,147904
Obwalden,2011,35885
Nidwalden,2011,41311
Glarus,2011,39217
Zug,2011,115104
Fribourg / Freiburg,2011,284714
Solothurn,2011,256990
Basel-Stadt,2011,186255
Basel-Landschaft,2011,275360
Schaffhausen,2011,77139
Appenzell Ausserrhoden,2011,53313
Appenzell Innerrhoden,2011,15743
St. Gallen,2011,483156
Graubünden / Grigioni / Grischun,2011,193388
Aargau,2011,618298
Thurgau,2011,251973
Ticino,2011,336943
Vaud,2011,725944
Valais / Wallis,2011,317022
Neuchâtel,2011,173183
Genève,2011,460534
Jura,2011,70542
Suisse,2012,8039060
Zürich,2012,1408575
Bern / Berne,2012,992567
Luzern,2012,386082
Uri,2012,35693
Schwyz,2012,149830
Obwalden,2012,36115
Nidwalden,2012,41584
Glarus,2012,39369
Zug,2012,116575
Fribourg / Freiburg,2012,291445
Solothurn,2012,259283
Basel-Stadt,2012,187425
Basel-Landschaft,2012,276537
Schaffhausen,2012,77955
Appenzell Ausserrhoden,2012,53438
Appenzell Innerrhoden,2012,15717
St. Gallen,2012,487060
Graubünden / Grigioni / Grischun,2012,193920
Aargau,2012,627340
Thurgau,2012,256213
Ticino,2012,341652
Vaud,2012,734356
Valais / Wallis,2012,321732
Neuchâtel,2012,174554
Genève,2012,463101
Jura,2012,70942
Suisse,2013,8139631
Zürich,2013,1425538
Bern / Berne,2013,1001232
Luzern,2013,390349
Uri,2013,35865
Schwyz,2013,151396
Obwalden,2013,36507
Nidwalden,2013,41888
Glarus,2013,39593
Zug,2013,118118
Fribourg / Freiburg,2013,297671
Solothurn,2013,261437
Basel-Stadt,2013,189335
Basel-Landschaft,2013,278656
Schaffhausen,2013,78783
Appenzell Ausserrhoden,2013,53691
Appenzell Innerrhoden,2013,15778
St. Gallen,2013,491699
Graubünden / Grigioni / Grischun,2013,194959
Aargau,2013,636362
Thurgau,2013,260278
Ticino,2013,346539
Vaud,2013,749373
Valais / Wallis,2013,327011
Neuchâtel,2013,176402
Genève,2013,469433
Jura,2013,71738
Suisse,2014,8237666
Zürich,2014,1446354
Bern / Berne,2014,1009370
Luzern,2014,394604
Uri,2014,36008
Schwyz,2014,152759
Obwalden,2014,36834
Nidwalden,2014,42080
Glarus,2014,39794
Zug,2014,120089
Fribourg / Freiburg,2014,303425
Solothurn,2014,263719
Basel-Stadt,2014,190580
Basel-Landschaft,2014,281301
Schaffhausen,2014,79417
Appenzell Ausserrhoden,2014,54064
Appenzell Innerrhoden,2014,15854
St. Gallen,2014,495824
Graubünden / Grigioni / Grischun,2014,195886
Aargau,2014,645277
Thurgau,2014,263733
Ticino,2014,350363
Vaud,2014,761446
Valais / Wallis,2014,331763
Neuchâtel,2014,177327
Genève,2014,477385
Jura,2014,72410
Suisse,2015,8327126
Zürich,2015,1466424
Bern / Berne,2015,1017434
Luzern,2015,398762
Uri,2015,35973
Schwyz,2015,154093
Obwalden,2015,37076
Nidwalden,2015,42420
Glarus,2015,40028
Zug,2015,122134
Fribourg / Freiburg,2015,307510
Solothurn,2015,266418
Basel-Stadt,2015,191817
Basel-Landschaft,2015,283231
Schaffhausen,2015,79836
Appenzell Ausserrhoden,2015,54543
Appenzell Innerrhoden,2015,15974
St. Gallen,2015,499065
Graubünden / Grigioni / Grischun,2015,196610
Aargau,2015,653675
Thurgau,2015,267429
Ticino,2015,351946
Vaud,2015,773407
Valais / Wallis,2015,335696
Neuchâtel,2015,178107
Genève,2015,484736
Jura,2015,72782
Suisse,2016,8419550
Zürich,2016,1487969
Bern / Berne,2016,1026464
Luzern,2016,403397
Uri,2016,36145
Schwyz,2016,155863
Obwalden,2016,37378
Nidwalden,2016,42556
Glarus,2016,40147
Zug,2016,123948
Fribourg / Freiburg,2016,311963
Solothurn,2016,269441
Basel-Stadt,2016,193070
Basel-Landschaft,2016,285624
Schaffhausen,2016,80769
Appenzell Ausserrhoden,2016,54954
Appenzell Innerrhoden,2016,16003
St. Gallen,2016,502552
Graubünden / Grigioni / Grischun,2016,197550
Aargau,2016,663462
Thurgau,2016,270709
Ticino,2016,354375
Vaud,2016,784822
Valais / Wallis,2016,339176
Neuchâtel,2016,178567
Genève,2016,489524
Jura,2016,73122
Suisse,2017,8484130
Zürich,2017,1504346
Bern / Berne,2017,1031080
Luzern,2017,406506
Uri,2017,36299
Schwyz,2017,157301
Obwalden,2017,37575
Nidwalden,2017,42969
Glarus,2017,40349
Zug,2017,125421
Fribourg / Freiburg,2017,315120
Solothurn,2017,271432
Basel-Stadt,2017,193908
Basel-Landschaft,2017,287023
Schaffhausen,2017,81351
Appenzell Ausserrhoden,2017,55178
Appenzell Innerrhoden,2017,16105
St. Gallen,2017,504686
Graubünden / Grigioni / Grischun,2017,197888
Aargau,2017,670988
Thurgau,2017,273801
Ticino,2017,353709
Vaud,2017,793129
Valais / Wallis,2017,341463
Neuchâtel,2017,177964
Genève,2017,495249
Jura,2017,73290
Suisse,2018,8544527
Zürich,2018,1520968
Bern / Berne,2018,1034931
Luzern,2018,409557
Uri,2018,36433
Schwyz,2018,159165
Obwalden,2018,37841
Nidwalden,2018,43223
Glarus,2018,40403
Zug,2018,126837
Fribourg / Freiburg,2018,318760
Solothurn,2018,273194
Basel-Stadt,2018,194766
Basel-Landschaft,2018,288132
Schaffhausen,2018,81991
Appenzell Ausserrhoden,2018,55234
Appenzell Innerrhoden,2018,16145
St. Gallen,2018,507697
Graubünden / Grigioni / Grischun,2018,198379
Aargau,2018,678207
Thurgau,2018,276472
Ticino,2018,353343
Vaud,2018,799145
Valais / Wallis,2018,343955
Neuchâtel,2018,176850
Genève,2018,499480
Jura,2018,73419
Suisse,2019,8606033
Zürich,2019,1539275
Bern / Berne,2019,1039426
Luzern,2019,413120
Uri,2019,36703
Schwyz,2019,160480
Obwalden,2019,37930
Nidwalden,2019,43087
Glarus,2019,40590
Zug,2019,127642
Fribourg / Freiburg,2019,321831
Solothurn,2019,275247
Basel-Stadt,2019,195844
Basel-Landschaft,2019,289468
Schaffhausen,2019,82348
Appenzell Ausserrhoden,2019,55445
Appenzell Innerrhoden,2019,16128
St. Gallen,2019,510734
Graubünden / Grigioni / Grischun,2019,199021
Aargau,2019,685845
Thurgau,2019,279547
Ticino,2019,351491
Vaud,2019,805098
Valais / Wallis,2019,345525
Neuchâtel,2019,176496
Genève,2019,504128
Jura,2019,73584
Suisse,2020,8670300
Zürich,2020,1553423
Bern / Berne,2020,1043081
Luzern,2020,416347
Uri,2020,36819
Schwyz,2020,162157
Obwalden,2020,38108
Nidwalden,2020,43520
Glarus,2020,40851
Zug,2020,128794
Fribourg / Freiburg,2020,325547
Solothurn,2020,277462
Basel-Stadt,2020,196735
Basel-Landschaft,2020,290969
Schaffhausen,2020,83107
Appenzell Ausserrhoden,2020,55309
Appenzell Innerrhoden,2020,16293
St. Gallen,2020,514504
Graubünden / Grigioni / Grischun,2020,200096
Aargau,2020,694072
Thurgau,2020,282909
Ticino,2020,350986
Vaud,2020,814762
Valais / Wallis,2020,348503
Neuchâtel,2020,175894
Genève,2020,506343
Jura,2020,73709
Suisse,2021,8738791
Zürich,2021,1564662
Bern / Berne,2021,1047422
Luzern,2021,420326
Uri,2021,37047
Schwyz,2021,163689
Obwalden,2021,38435
Nidwalden,2021,43894
Glarus,2021,41190
Zug,2021,129787
Fribourg / Freiburg,2021,329860
Solothurn,2021,280245
Basel-Stadt,2021,196036
Basel-Landschaft,2021,292817
Schaffhausen,2021,83995
Appenzell Ausserrhoden,2021,55585
Appenzell Innerrhoden,2021,16360
St. Gallen,2021,519245
Graubünden / Grigioni / Grischun,2021,201376
Aargau,2021,703086
Thurgau,2021,285964
Ticino,2021,352181
Vaud,2021,822968
Valais / Wallis,2021,353209
Neuchâtel,2021,176166
Genève,2021,509448
Jura,2021,73798
Suisse,2022,8815385
Zürich,2022,1579967
Bern / Berne,2022,1051437
Luzern,2022,424851
Uri,2022,37317
Schwyz,2022,164920
Obwalden,2022,38700
Nidwalden,2022,44420
Glarus,2022,41471
Zug,2022,131164
Fribourg / Freiburg,2022,334465
Solothurn,2022,282408
Basel-Stadt,2022,196786
Basel-Landschaft,2022,294417
Schaffhausen,2022,85214
Appenzell Ausserrhoden,2022,55759
Appenzell Innerrhoden,2022,16416
St. Gallen,2022,525967
Graubünden / Grigioni / Grischun,2022,202538
Aargau,2022,711232
Thurgau,2022,289650
Ticino,2022,354023
Vaud,2022,830431
Valais / Wallis,2022,357282
Neuchâtel,2022,176571
Genève,2022,514114
Jura,2022,73865
Suisse,2023,8962258
Zürich,2023,1605508
Bern / Berne,2023,1063533
Luzern,2023,432744
Uri,2023,37931
Schwyz,2023,167403
Obwalden,2023,39272
Nidwalden,2023,45016
Glarus,2023,42056
Zug,2023,132556
Fribourg / Freiburg,2023,341537
Solothurn,2023,286844
Basel-Stadt,2023,200031
Basel-Landschaft,2023,298837
Schaffhausen,2023,87111
Appenzell Ausserrhoden,2023,56495
Appenzell Innerrhoden,2023,16585
St. Gallen,2023,535114
Graubünden / Grigioni / Grischun,2023,204888
Aargau,2023,726894
Thurgau,2023,295220
Ticino,2023,357720
Vaud,2023,845870
Valais / Wallis,2023,365844
Neuchâtel,2023,178291
Genève,2023,524410
Jura,2023,74548
Suisse,2024,9051029
Zürich,2024,1620020
Bern / Berne,2024,1071216
Luzern,2024,437944
Uri,2024,38275
Schwyz,2024,168931
Obwalden,2024,39662
Nidwalden,2024,45345
Glarus,2024,42371
Zug,2024,133739
Fribourg / Freiburg,2024,346674
Solothurn,2024,289792
Basel-Stadt,2024,201384
Basel-Landschaft,2024,301323
Schaffhausen,2024,88667
Appenzell Ausserrhoden,2024,56705
Appenzell Innerrhoden,2024,16733
St. Gallen,2024,540036
Graubünden / Grigioni / Grischun,2024,206138
Aargau,2024,735808
Thurgau,2024,299509
Ticino,2024,358903
Vaud,2024,855106
Valais / Wallis,2024,371288
Neuchâtel,2024,179518
Genève,2024,531102
Jura,2024,74840
Suisse,2025,9127125
Zürich,2025,1632918
Bern / Berne,2025,1076127
Luzern,2025,441500
Uri,2025,38581
Schwyz,2025,170072
Obwalden,2025,39879
Nidwalden,2025,45664
Glarus,2025,42451
Zug,2025,135018
Fribourg / Freiburg,2025,350918
Solothurn,2025,291583
Basel-Stadt,2025,204157
Basel-Landschaft,2025,303872
Schaffhausen,2025,90087
Appenzell Ausserrhoden,2025,57221
Appenzell Innerrhoden,2025,16890
St. Gallen,2025,544040
Graubünden / Grigioni / Grischun,2025,207400
Aargau,2025,743768
Thurgau,2025,302806
Ticino,2025,359783
Vaud,2025,863650
Valais / Wallis,2025,376113
Neuchâtel,2025,180365
Genève,2025,537084
Jura,2025,75178
